3	4	8	18	19	22	
3	4	8	18	22	23	
3	7	18	19	22	23	
3	4	8	18	22	23	
3	4	8	18	19	23	
3	7	8	18	22	23	
3	7	8	18	19	22	
4	8	18	19	22	23	
3	4	18	19	22	23	
3	4	8	18	19	22	
3	18	19	21	22	23	
3	8	18	19	21	22	
3	8	10	18	19	23	
4	7	10	18	21	22	
3	7	10	18	21	22	
3	4	7	10	18	23	
3	4	8	10	18	22	
3	7	10	18	21	22	
3	4	10	18	21	22	
3	4	7	18	21	22	
3	4	7	10	22	23	
3	4	7	18	21	22	
3	4	7	10	18	23	
3	4	7	10	18	19	
3	4	10	18	22	23	
3	4	7	8	18	22	
4	7	8	18	21	22	
3	4	7	8	18	23	
3	7	8	18	21	23	
3	4	8	18	19	21	
4	7	8	10	18	21	
3	4	8	18	21	22	
3	4	7	18	19	21	
3	4	7	10	18	21	
3	7	8	18	21	22	
4	7	8	18	21	22	
3	4	7	8	10	21	
3	4	7	8	10	21	
3	4	7	8	18	19	
3	7	8	18	21	22	
4	7	8	18	21	22	
3	4	7	8	18	21	
3	4	7	8	18	23	
4	7	10	18	21	23	
4	7	8	10	18	23	
4	7	8	21	22	23	
4	7	8	19	21	23	
7	8	10	18	21	23	
4	8	10	18	21	23	
7	8	18	19	21	23	
4	7	8	10	21	23	
4	7	8	10	18	23	
4	7	8	18	19	21	
3	4	8	18	21	23	
3	7	8	18	21	23	
3	7	18	19	21	23	
3	8	18	19	21	22	
3	4	7	8	18	19	
3	7	18	19	21	23	
3	4	8	18	19	21	
3	7	8	19	21	22	
3	7	8	18	19	22	
3	7	8	18	21	22	
3	4	7	18	19	21	
3	4	7	8	18	19	
7	8	18	19	21	23	
3	4	7	8	18	19	
3	7	8	18	21	23	
4	7	8	18	19	21	
3	7	8	18	19	23	
3	4	7	21	22	23	
3	4	8	10	22	23	
4	7	10	18	22	23	
3	4	7	10	21	23	
3	4	10	21	22	23	
3	4	7	8	18	23	
4	7	8	18	22	23	
3	4	7	8	19	22	
3	4	7	8	21	22	
4	7	8	21	22	23	
3	4	7	19	22	23	
3	7	8	18	22	23	
3	7	8	21	22	23	
3	4	8	10	22	23	
3	4	7	8	19	22	
3	4	8	18	22	23	
4	7	10	18	19	23	
4	7	10	21	22	23	
3	4	7	10	19	23	
3	4	7	10	19	23	
4	10	19	21	22	23	
4	7	8	10	21	23	
4	7	8	10	19	23	
4	7	10	18	19	23	
3	4	7	19	21	23	
4	7	8	19	21	23	
4	7	8	10	19	21	
4	7	10	18	19	21	
4	7	10	19	21	23	
3	8	10	18	21	23	
3	7	18	21	22	23	
3	4	8	18	22	23	
3	4	18	21	22	23	
3	8	18	19	21	22	
3	10	18	21	22	23	
3	8	10	21	22	23	
3	4	18	21	22	23	
8	18	19	21	22	23	
3	10	18	21	22	23	
3	4	18	21	22	23	
3	4	8	18	21	22	
3	8	18	19	21	23	
3	7	8	10	18	22	
7	8	10	18	19	22	
3	7	8	10	18	22	
3	4	7	18	19	22	
3	7	8	18	19	21	
3	7	8	19	21	22	
7	8	18	19	21	22	
3	7	18	19	21	22	
3	7	8	18	19	23	
3	7	8	10	19	22	
3	7	8	18	22	23	
4	7	8	18	19	22	
7	8	10	18	19	22	
3	7	8	18	22	23	
3	7	8	18	21	22	
3	8	18	19	22	23	
3	4	7	8	19	22	
7	8	18	19	22	23	
3	7	8	10	18	22	
