1	2	4	5	7	8	9	10	11	13	14	17	19	20	22	
1	2	4	5	6	7	8	9	10	11	13	14	17	20	22	
1	4	5	6	7	8	9	10	11	12	13	14	20	22	24	
1	3	4	5	6	7	8	9	10	11	12	13	17	19	20	
1	3	4	5	6	7	8	9	10	11	13	19	20	22	24	
1	4	5	6	7	8	9	10	11	12	13	17	19	20	24	
1	4	5	6	7	8	9	10	11	12	13	17	20	22	24	
1	3	4	5	6	7	8	9	10	11	12	13	14	17	20	
1	2	3	4	5	6	7	8	9	10	11	12	13	19	20	
1	4	5	6	7	8	9	10	11	12	13	14	17	19	20	
1	3	4	5	7	8	9	10	11	12	13	14	17	19	20	
1	3	4	5	7	8	9	10	11	12	13	14	17	20	22	
1	4	5	6	7	8	9	10	11	12	13	14	19	20	22	
1	2	4	5	7	8	9	10	11	12	13	19	20	22	24	
1	3	4	5	6	7	8	9	10	11	13	17	20	22	24	
1	4	5	6	7	8	9	10	11	12	13	14	17	20	24	
1	3	4	5	6	7	8	9	10	11	13	14	19	20	22	
1	4	5	7	8	9	10	11	12	13	14	17	19	20	22	
1	2	3	4	5	7	8	9	10	11	12	13	17	20	22	
1	2	4	5	6	7	8	9	10	11	13	14	17	19	22	
1	2	4	5	6	7	8	9	10	11	13	14	17	20	24	
1	2	3	4	5	7	8	9	10	11	12	13	17	20	24	
1	3	4	5	7	8	9	10	11	13	14	17	20	22	24	
1	3	4	5	6	7	8	9	10	11	12	13	19	20	24	
1	3	4	5	7	8	9	10	11	12	13	14	17	19	22	
1	2	4	5	6	7	8	9	10	11	12	13	19	20	22	
1	3	4	5	6	7	8	9	10	11	12	13	20	22	24	
1	4	5	6	7	8	9	10	11	13	14	17	19	20	22	
1	4	5	7	8	9	10	11	12	13	14	19	20	22	24	
1	2	3	4	5	7	8	9	10	11	12	13	19	20	24	
1	2	4	5	6	7	8	9	10	11	13	14	17	19	24	
1	2	4	5	6	7	8	9	10	11	12	13	14	17	20	
1	3	4	5	6	7	8	9	10	11	13	14	17	20	22	
1	2	4	5	6	7	8	9	10	11	12	13	19	22	24	
1	2	3	4	5	6	7	8	9	10	11	12	13	20	24	
1	3	4	5	7	8	9	10	11	13	14	19	20	22	24	
1	3	4	5	6	7	8	9	10	11	12	13	17	20	24	
1	4	5	6	7	8	9	10	11	12	13	19	20	22	24	
1	3	4	5	6	7	8	9	10	11	12	13	19	20	22	
1	4	5	6	7	8	9	10	11	12	13	14	19	20	24	
1	2	3	4	5	6	7	8	9	10	11	13	17	19	24	
1	2	4	5	6	7	8	9	10	11	13	19	20	22	24	
1	4	5	7	8	9	10	11	12	13	14	17	20	22	24	
1	2	4	5	7	8	9	10	11	12	13	14	17	19	24	
1	2	3	4	5	7	8	9	10	11	12	13	20	22	24	
1	2	4	5	7	8	9	10	11	12	13	14	17	20	22	
1	4	5	7	8	9	10	11	12	13	17	19	20	22	24	
1	2	3	4	5	7	8	9	10	11	13	14	17	20	24	
1	3	4	5	6	7	8	9	10	11	12	13	14	19	24	
1	2	4	5	7	8	9	10	11	12	13	14	20	22	24	
1	2	4	5	7	8	9	10	11	12	13	14	17	20	24	
1	2	3	4	5	7	8	9	10	11	13	17	19	20	22	
1	2	4	5	7	8	9	10	11	13	14	17	19	22	24	
1	4	5	7	8	9	10	11	13	14	17	19	20	22	24	
1	3	4	5	7	8	9	10	11	12	13	17	19	22	24	
1	2	3	4	5	6	7	8	9	10	11	12	13	14	19	
1	2	3	4	5	7	8	9	10	11	12	13	17	19	24	
1	2	3	4	5	7	8	9	10	11	13	19	20	22	24	
