2	13	14	17	18	19	20	22	23	
2	8	9	13	14	17	18	19	23	
2	3	9	13	14	17	19	20	23	
2	9	13	14	15	17	18	19	23	
5	9	13	14	17	18	19	20	23	
2	9	13	14	17	18	19	20	22	
2	9	11	13	17	18	19	20	23	
2	8	9	13	17	18	19	20	23	
2	5	9	13	14	17	18	20	23	
3	9	13	14	15	18	19	20	22	
9	13	14	15	17	18	19	20	22	
3	9	13	14	15	17	18	20	22	
9	11	13	14	15	17	18	20	22	
8	9	13	14	15	17	18	20	22	
3	9	13	14	15	17	18	19	22	
2	3	9	13	15	17	18	20	22	
3	8	11	13	15	17	18	20	22	
8	9	11	13	14	15	17	18	20	
3	8	9	11	14	15	17	18	20	
8	9	11	13	14	15	17	18	20	
3	8	9	11	13	15	17	20	22	
3	8	9	11	13	15	17	19	20	
2	3	8	9	13	15	17	18	20	
8	9	11	13	15	17	18	20	23	
3	8	9	11	13	15	18	19	20	
3	8	9	11	13	14	17	18	20	
3	5	8	11	13	15	17	18	20	
3	8	9	11	13	15	18	20	23	
3	8	9	11	13	14	15	19	20	
3	8	9	13	14	15	19	20	22	
3	8	9	13	15	18	19	20	23	
3	8	9	13	15	18	19	20	23	
3	8	9	13	14	17	18	19	20	
2	3	8	13	14	15	18	19	20	
3	8	9	13	14	15	17	18	19	
3	5	8	9	13	14	18	19	20	
3	9	11	13	14	15	18	19	20	
3	8	9	11	13	14	15	19	20	
3	8	9	13	15	18	19	20	22	
3	8	9	13	15	18	19	20	22	
2	3	5	8	11	13	14	15	23	
2	3	5	11	13	14	15	20	23	
2	3	5	11	13	15	20	22	23	
2	5	11	13	14	15	19	22	23	
2	3	5	11	13	14	15	20	23	
2	3	5	11	13	14	15	19	23	
2	3	5	11	13	14	15	17	22	
2	3	5	9	13	14	15	22	23	
3	5	11	13	14	15	18	22	23	
2	3	5	8	11	14	15	22	23	
2	3	5	11	14	15	20	22	23	
2	3	5	9	11	14	15	22	23	
2	3	5	13	14	15	19	22	23	
2	3	5	13	14	15	17	22	23	
3	5	9	11	13	14	15	22	23	
2	3	5	8	11	13	14	22	23	
2	3	5	8	11	13	14	15	22	
2	3	5	11	13	14	15	19	23	
2	3	5	8	9	14	17	18	22	
2	3	5	8	9	11	14	17	23	
2	5	8	9	14	17	18	22	23	
3	5	8	9	14	15	17	22	23	
2	3	5	8	9	17	20	22	23	
2	5	8	9	13	14	17	22	23	
3	5	8	9	14	17	19	22	23	
2	3	5	8	9	14	17	19	23	
2	3	5	8	9	13	17	22	23	
2	3	5	8	14	17	19	22	23	
2	5	8	9	14	17	18	22	23	
2	5	8	9	13	14	17	22	23	
2	3	5	8	9	14	15	20	22	
2	5	8	9	13	15	18	20	22	
2	3	5	8	9	13	14	15	22	
2	5	8	9	11	14	15	20	22	
2	8	9	13	14	15	20	22	23	
2	5	8	9	13	14	15	18	22	
2	5	8	9	14	15	17	20	22	
2	5	8	13	14	15	20	22	23	
3	5	8	9	13	14	15	20	22	
2	5	8	9	13	14	15	20	23	
2	5	9	13	14	15	18	20	22	
2	3	5	8	9	13	15	20	22	
2	3	5	8	9	13	14	20	22	
2	5	8	9	13	14	15	18	22	
2	5	8	9	11	13	14	20	22	
2	8	9	13	14	15	19	20	22	
2	8	13	14	17	18	19	22	23	
2	3	8	14	15	17	18	19	22	
2	5	8	14	15	17	18	19	23	
8	11	14	15	17	18	19	22	23	
2	11	14	15	17	18	19	22	23	
2	3	8	14	15	17	18	19	23	
2	8	11	14	15	17	19	22	23	
3	8	14	15	17	18	19	22	23	
2	8	11	14	15	17	19	22	23	
3	5	9	13	14	17	19	20	23	
3	5	9	11	13	17	18	19	20	
3	5	9	11	13	14	17	18	20	
3	5	13	14	17	18	19	20	23	
3	5	8	9	13	14	17	18	19	
3	5	9	13	14	17	18	19	20	
3	5	9	11	13	14	17	18	19	
2	3	5	9	13	14	18	19	20	
2	3	5	9	14	17	18	19	20	
3	5	9	13	15	17	18	19	20	
2	3	5	9	13	14	17	18	20	
2	3	5	9	14	17	18	19	20	
2	3	13	14	15	17	18	19	23	
2	3	13	14	15	18	19	22	23	
2	3	8	13	15	17	18	22	23	
2	3	5	15	17	18	19	22	23	
2	3	8	13	15	17	18	19	22	
2	3	13	14	15	17	19	22	23	
2	3	11	15	17	18	19	22	23	
3	9	13	15	17	18	19	22	23	
3	13	14	15	17	18	19	22	23	
2	13	15	17	18	19	20	22	23	
2	3	13	14	17	18	19	22	23	
2	3	13	17	18	19	20	22	23	
3	11	13	15	17	18	19	22	23	
2	3	13	14	15	18	19	22	23	
2	3	11	13	15	17	18	22	23	
3	9	13	15	17	18	19	22	23	
2	3	9	13	15	17	18	22	23	
