229	77	12	114	9	5	5	
2744	71	11	129	9	4	4	
3670	76	7	113	9	5	5	
4093	134	14	137	10	5	4	
1406	149	14	116	11	5	4	
3167	207	6	127	9	6	4	
3821	13	13	132	8	5	4	
2626	153	11	118	9	6	4	
1828	109	12	122	9	6	3	
98	206	8	102	11	6	3	
4778	9	9	106	7	3	5	
4201	125	7	95	11	5	3	
435	206	5	102	11	5	3	
3800	139	12	106	9	5	4	
831	131	12	98	8	5	6	
1635	140	8	123	10	6	3	
3424	183	16	121	8	4	5	
304	51	11	108	7	7	5	
1934	62	10	125	10	6	4	
1482	0	9	127	10	5	5	
2719	84	8	120	9	5	3	
3370	121	9	117	8	4	3	
1401	128	12	102	11	6	5	
2642	39	11	115	8	5	5	
2929	108	14	107	11	4	4	
1835	58	14	101	9	6	4	
4778	146	9	118	9	3	4	
3339	156	13	103	9	5	4	
1559	105	7	113	9	5	4	
4828	145	13	126	8	5	4	
2951	73	11	130	12	5	4	
4123	175	7	127	10	5	4	
1640	65	14	104	8	5	4	
3824	43	17	123	9	6	4	
1109	201	7	118	12	7	4	
2478	11	6	112	7	2	5	
577	73	10	130	11	7	4	
392	85	14	107	9	5	4	
324	117	6	98	8	6	4	
1305	84	7	120	10	6	3	
2396	39	4	115	7	4	5	
4730	116	11	110	8	3	3	
2410	115	11	114	9	5	4	
1213	71	13	129	8	6	4	
2020	160	12	115	8	4	4	
151	104	13	112	10	5	4	
3683	149	8	116	10	4	4	
2198	15	8	118	8	4	5	
3958	5	14	120	8	6	5	
3710	152	9	112	9	4	5	
962	97	15	103	9	7	4	
1282	127	9	116	9	6	4	
2463	167	8	115	9	4	5	
4963	25	8	110	8	4	4	
4444	17	13	113	9	4	5	
2485	177	8	115	9	3	3	
843	24	5	123	10	5	5	
4885	54	11	121	10	5	4	
1706	205	7	108	10	4	4	
4084	111	14	112	8	6	5	
4489	124	9	119	10	5	4	
4862	204	13	132	9	5	3	
832	11	9	112	7	5	5	
1403	31	17	112	9	6	5	
2147	125	10	95	9	5	3	
4522	138	11	114	8	5	4	
1910	18	10	109	9	5	4	
4728	13	11	132	8	4	4	
2960	46	13	91	8	5	5	
3633	176	10	101	10	4	4	
1740	37	9	89	6	5	5	
3541	56	8	111	9	5	5	
32	140	10	123	8	5	3	
3311	14	19	95	7	5	5	
1790	169	11	121	9	7	5	
1362	131	6	98	10	6	6	
3240	128	9	102	9	4	5	
2903	95	7	118	11	5	4	
774	75	10	117	8	6	6	
1986	114	11	125	9	6	4	
1571	11	12	112	9	5	5	
1196	146	11	118	9	5	4	
191	179	7	111	10	4	3	
4788	163	14	111	8	6	4	
4865	22	12	115	9	6	5	
3554	131	13	98	8	4	6	
513	15	6	118	8	6	5	
3328	40	8	100	7	6	6	
1268	62	12	125	10	7	4	
3781	62	11	125	9	4	4	
1568	189	17	127	12	5	4	
1288	185	11	125	11	6	4	
2896	86	5	108	10	6	5	
141	178	17	101	10	5	4	
1581	119	16	124	10	5	4	
4353	51	14	108	6	5	5	
1210	196	9	100	9	5	4	
3521	156	13	103	9	5	4	
3608	120	12	111	10	3	4	
4005	105	12	113	8	5	4	
3770	116	15	110	9	3	3	
4306	18	14	109	9	5	4	
1724	73	11	130	9	5	4	
3003	142	10	118	7	5	5	
1362	38	6	118	10	6	4	
2130	65	12	104	7	4	4	
144	78	10	130	10	6	4	
926	3	13	110	8	5	6	
1571	9	12	106	9	5	5	
2761	75	13	117	7	5	6	
4305	150	9	113	10	5	3	
4041	102	19	109	8	5	4	
3532	123	10	117	10	5	3	
942	168	13	124	8	5	4	
4085	124	9	119	9	6	4	
3443	192	11	113	9	3	4	
999	51	15	108	9	6	5	
3167	61	6	114	8	6	5	
4297	207	13	127	7	4	4	
56	15	13	118	7	6	5	
611	98	8	103	11	5	5	
1034	100	12	126	9	6	4	
3604	127	15	116	9	3	4	
1863	69	15	124	9	5	4	
3947	183	6	121	10	4	5	
4735	60	13	100	10	4	4	
3246	158	11	81	9	5	4	
1834	154	10	108	10	6	5	
3653	190	9	109	10	3	5	
688	101	13	116	11	4	3	
2038	10	6	120	7	5	6	
4376	155	10	113	9	3	4	
855	66	8	104	8	4	3	
4727	174	13	96	9	4	3	
4373	62	17	125	7	4	4	
3702	153	6	118	10	4	4	
262	56	11	111	7	4	5	
610	99	12	127	11	4	4	
4600	167	8	115	9	4	5	
3458	149	10	116	10	4	4	
3537	57	11	104	8	5	4	
4589	93	12	116	9	4	4	
3773	6	12	121	8	2	4	
4778	111	9	112	8	3	5	
149	168	13	124	9	4	4	
285	9	11	106	8	5	5	
594	63	7	112	9	4	5	
1841	143	11	120	8	5	4	
4861	80	9	135	9	5	4	
2259	49	10	109	8	4	3	
4139	53	12	101	8	5	5	
2737	204	6	132	8	4	3	
4691	198	6	106	11	4	3	
400	168	8	124	8	5	4	
3114	106	10	108	9	6	5	
1325	72	8	126	10	5	5	
2671	87	9	127	9	6	4	
3513	124	19	119	8	4	4	
2342	115	7	114	8	4	4	
4243	116	10	110	11	5	3	
4761	111	13	112	7	3	5	
2662	111	19	112	9	5	5	
947	138	4	114	8	6	4	
2825	101	9	116	9	5	3	
3474	35	11	111	7	3	5	
3295	172	15	122	6	4	3	
1866	54	14	121	8	5	4	
4272	13	8	132	9	5	4	
2625	131	11	98	8	6	6	
2709	153	9	118	11	5	4	
1091	188	11	119	10	6	5	
895	71	10	129	10	4	4	
868	29	9	120	10	4	3	
1813	77	10	114	9	6	5	
1794	112	7	120	8	5	4	
2360	184	12	123	11	4	4	
