4210	7	
1925	98	
1250	72	
289	173	
2729	127	
4496	23	
653	170	
1992	131	
143	94	
2779	109	
2335	132	
3724	176	
3546	105	
3691	73	
210	164	
1919	67	
3057	130	
1729	196	
3958	74	
1674	157	
3829	57	
4366	178	
2201	79	
2812	65	
2201	171	
4028	186	
1962	24	
1149	179	
4470	24	
2631	174	
2571	122	
2474	11	
784	155	
2650	76	
2532	18	
1351	46	
2206	195	
4230	152	
457	74	
13	76	
1547	153	
3056	131	
2142	123	
2683	56	
1872	52	
2120	115	
1302	55	
2759	45	
2139	206	
2845	179	
4328	80	
4752	21	
982	23	
221	179	
2304	71	
1157	178	
680	135	
0	110	
4043	158	
3103	32	
4750	105	
2369	68	
1796	158	
4780	61	
4848	56	
1628	53	
1601	121	
3549	25	
4254	18	
4179	208	
3881	92	
4309	58	
1953	203	
2537	8	
3268	181	
4885	163	
2663	157	
2837	11	
130	1	
172	12	
3518	104	
1834	100	
1551	160	
1925	23	
3381	32	
1253	72	
4545	94	
1821	33	
3081	71	
4572	114	
760	20	
4667	28	
2987	158	
1235	31	
4417	140	
2534	112	
1436	118	
1154	140	
3049	152	
310	52	
4038	133	
3520	191	
3357	128	
1429	179	
506	155	
1112	123	
1603	107	
4137	99	
1769	53	
4042	22	
102	8	
4566	134	
4761	144	
2671	25	
113	1	
92	29	
1501	45	
775	143	
3879	149	
509	114	
3158	56	
2602	34	
1479	146	
3328	53	
2302	139	
4427	7	
1994	59	
1770	110	
1303	166	
2690	129	
600	94	
1495	91	
405	29	
1014	19	
4138	93	
3618	142	
2420	167	
4654	202	
1238	83	
1933	183	
3117	135	
2181	106	
3511	155	
2879	168	
284	11	
3211	100	
564	161	
2032	110	
1229	21	
4532	156	
1660	65	
3899	72	
3280	140	
3851	198	
3913	155	
815	47	
3322	154	
3744	177	
3774	199	
2437	16	
1613	101	
2233	136	
4138	180	
2115	19	
3695	203	
4058	90	
3944	57	
1673	166	
3125	133	
2547	100	
1448	12	
4426	62	
1561	164	
284	51	
4182	184	
1606	3	
2746	125	
486	155	
881	185	
2882	32	
3999	30	
1792	97	
4479	202	
4803	3	
1991	142	
3405	191	
3915	92	
4584	189	
4909	68	
2096	124	
1698	0	
1203	27	
3445	104	
3746	92	
2787	133	
2	100	
4844	200	
4030	15	
4788	181	
3193	67	
3450	189	
4567	66	
1016	82	
395	197	
4415	137	
4614	189	
3516	127	
1456	38	
154	30	
2133	42	
2240	202	
2602	37	
869	116	
4548	56	
418	168	
4435	133	
4460	166	
4395	188	
500	2	
1087	21	
56	11	
1648	77	
157	82	
1436	44	
1773	98	
4247	21	
2306	123	
1017	118	
2491	91	
2771	69	
2676	58	
3815	122	
1155	82	
1585	189	
3231	20	
1471	63	
3925	5	
3030	29	
1639	132	
2892	147	
808	31	
3109	173	
4312	46	
3617	82	
2729	133	
1539	191	
4040	197	
4923	44	
1437	54	
2216	179	
467	129	
3735	95	
4563	44	
828	65	
601	143	
2165	66	
1685	190	
1495	185	
1128	5	
3241	97	
766	208	
4625	37	
885	155	
1014	179	
3446	82	
1531	189	
3946	142	
4554	116	
677	70	
4941	2	
1637	96	
1695	150	
2293	114	
